actual,predicted
0.023647606,0.036136307
0.024666125,0.035550818
0.026429104,0.03509764
0.02680113,0.0347519
0.026921665,0.034519542
0.031737495,0.034386884
0.031214051,0.034786373
0.034164194,0.03518665
0.032580387,0.035691798
0.032226168,0.0360095
0.030847436,0.036199987
0.030496022,0.036262035
0.032120593,0.036412343
0.03332194,0.03663332
0.033134516,0.03699164
0.033290874,0.037409425
0.04042036,0.03772776
0.042053428,0.03873886
0.040868532,0.03978622
0.040371377,0.0405478
0.040513948,0.041177597
0.0426066,0.041702397
0.041825876,0.04244496
0.04089023,0.043029718
0.04531025,0.043461926
0.045237504,0.044207893
0.04204066,0.0447701
0.04416492,0.044968843
0.04194993,0.045293253
0.042165913,0.04532001
0.0428236,0.045367178
0.043072116,0.04542232
0.04307282,0.045416456
0.042089116,0.04548947
0.041154888,0.045491476
0.041142482,0.045509927
0.040537138,0.045341153
0.033572067,0.045197975
0.03131952,0.044339016
0.032029867,0.043320492
0.03202457,0.042507626
0.032427795,0.041730247
0.029672027,0.04105354
0.03183138,0.04017529
0.03333867,0.039616767
0.027669394,0.039202124
0.028254379,0.038411062
0.03250869,0.03779076
0.029718608,0.037672915
0.029941993,0.037398126
0.029531363,0.03727162
0.030432113,0.037080795
0.034474466,0.03707084
0.042765483,0.03744249
0.0425342,0.03841454
0.042733043,0.03938324
0.042784266,0.04027746
0.042747203,0.04117214
0.04271329,0.041901752
0.043439105,0.042594157
0.027700651,0.031862363
0.027802661,0.031972498
0.027873263,0.03200821
0.03604732,0.032206535
0.03848879,0.033206742
0.040834043,0.034333017
0.04124759,0.0355922
0.041567188,0.036799952
0.040911146,0.03787019
0.041410077,0.038823284
0.041202813,0.039679237
0.040626414,0.040483348
0.04066486,0.04120737
0.041094866,0.041819457
0.04097245,0.04234401
0.041618038,0.04279466
0.04139648,0.04305875
0.042412467,0.043385275
0.042248566,0.043540765
0.04200993,0.04367114
0.04211353,0.043844845
0.040413518,0.0438968
0.040411152,0.04382106
0.040344477,0.043779153
0.03439518,0.04363927
0.031566154,0.04276318
0.028313113,0.041818224
0.029240815,0.04056637
0.02793037,0.039456714
0.027614528,0.03841921
0.026698295,0.037450187
0.026847526,0.036645666
0.026554862,0.035963453
0.027163055,0.035314277
0.027123976,0.034806658
0.027269298,0.03436413
0.029596068,0.034046143
0.02865234,0.033978034
0.027251069,0.033977453
0.030570848,0.033736926
0.031464614,0.034124784
0.033603176,0.03431201
0.03348514,0.034908734
0.034907196,0.03528362
0.035871435,0.035914302
0.0375353,0.036543645
0.037687417,0.037404187
0.038185205,0.038044967
0.037774295,0.038729697
0.040244643,0.039271466
0.04740355,0.04008925
0.046861053,0.041537903
0.04846933,0.042741403
0.049403384,0.04391756
0.050013456,0.045027833
0.04993144,0.04591875
0.049964234,0.0467918
0.048173636,0.047406863
0.047865167,0.047878504
0.047623996,0.048137747
0.026398571,0.03253088
0.027367758,0.03231654
0.027009856,0.032138776
0.027339844,0.031989925
0.02833439,0.03193943
0.029630866,0.032079164
0.03039642,0.032289803
0.02950427,0.032603666
0.036271222,0.032830697
0.036739282,0.033627827
0.036886524,0.03437746
0.03715263,0.035143167
0.039406203,0.035909995
0.038270872,0.03677371
0.038819954,0.03746689
0.036958013,0.038110666
0.037117753,0.038424328
0.03735259,0.038736146
0.037387684,0.038952857
0.037468348,0.039188407
0.03721726,0.03938248
0.037214838,0.039484695
0.036709186,0.03950172
0.036806762,0.039581865
0.035701785,0.03961698
0.035071068,0.039478723
0.034127086,0.03924886
0.032455426,0.038907614
0.034852926,0.038398653
0.030649507,0.03807427
0.029969526,0.037503395
0.029772716,0.03689202
0.02995475,0.036351375
0.027012974,0.0358333
0.026536398,0.035226166
0.025909552,0.03455863
0.026000679,0.033972327
0.025544154,0.033490658
0.026344681,0.032978307
0.026607165,0.03260448
0.02623291,0.032317057
0.026186135,0.03204821
0.025755195,0.03189981
