actual,predicted
0.023647606,0.027876308
0.024666125,0.023647606
0.026429104,0.024666125
0.02680113,0.026429104
0.026921665,0.02680113
0.031737495,0.026921665
0.031214051,0.031737495
0.034164194,0.031214051
0.032580387,0.034164194
0.032226168,0.032580387
0.030847436,0.032226168
0.030496022,0.030847436
0.032120593,0.030496022
0.03332194,0.032120593
0.033134516,0.03332194
0.033290874,0.033134516
0.04042036,0.033290874
0.042053428,0.04042036
0.040868532,0.042053428
0.040371377,0.040868532
0.040513948,0.040371377
0.0426066,0.040513948
0.041825876,0.0426066
0.04089023,0.041825876
0.04531025,0.04089023
0.045237504,0.04531025
0.04204066,0.045237504
0.04416492,0.04204066
0.04194993,0.04416492
0.042165913,0.04194993
0.0428236,0.042165913
0.043072116,0.0428236
0.04307282,0.043072116
0.042089116,0.04307282
0.041154888,0.042089116
0.041142482,0.041154888
0.040537138,0.041142482
0.033572067,0.040537138
0.03131952,0.033572067
0.032029867,0.03131952
0.03202457,0.032029867
0.032427795,0.03202457
0.029672027,0.032427795
0.03183138,0.029672027
0.03333867,0.03183138
0.027669394,0.03333867
0.028254379,0.027669394
0.03250869,0.028254379
0.029718608,0.03250869
0.029941993,0.029718608
0.029531363,0.029941993
0.030432113,0.029531363
0.034474466,0.030432113
0.042765483,0.034474466
0.0425342,0.042765483
0.042733043,0.0425342
0.042784266,0.042733043
0.042747203,0.042784266
0.04271329,0.042747203
0.043439105,0.04271329
0.027700651,0.025168689
0.027802661,0.027700651
0.027873263,0.027802661
0.03604732,0.027873263
0.03848879,0.03604732
0.040834043,0.03848879
0.04124759,0.040834043
0.041567188,0.04124759
0.040911146,0.041567188
0.041410077,0.040911146
0.041202813,0.041410077
0.040626414,0.041202813
0.04066486,0.040626414
0.041094866,0.04066486
0.04097245,0.041094866
0.041618038,0.04097245
0.04139648,0.041618038
0.042412467,0.04139648
0.042248566,0.042412467
0.04200993,0.042248566
0.04211353,0.04200993
0.040413518,0.04211353
0.040411152,0.040413518
0.040344477,0.040411152
0.03439518,0.040344477
0.031566154,0.03439518
0.028313113,0.031566154
0.029240815,0.028313113
0.02793037,0.029240815
0.027614528,0.02793037
0.026698295,0.027614528
0.026847526,0.026698295
0.026554862,0.026847526
0.027163055,0.026554862
0.027123976,0.027163055
0.027269298,0.027123976
0.029596068,0.027269298
0.02865234,0.029596068
0.027251069,0.02865234
0.030570848,0.027251069
0.031464614,0.030570848
0.033603176,0.031464614
0.03348514,0.033603176
0.034907196,0.03348514
0.035871435,0.034907196
0.0375353,0.035871435
0.037687417,0.0375353
0.038185205,0.037687417
0.037774295,0.038185205
0.040244643,0.037774295
0.04740355,0.040244643
0.046861053,0.04740355
0.04846933,0.046861053
0.049403384,0.04846933
0.050013456,0.049403384
0.04993144,0.050013456
0.049964234,0.04993144
0.048173636,0.049964234
0.047865167,0.048173636
0.047623996,0.047865167
0.026398571,0.02590206
0.027367758,0.026398571
0.027009856,0.027367758
0.027339844,0.027009856
0.02833439,0.027339844
0.029630866,0.02833439
0.03039642,0.029630866
0.02950427,0.03039642
0.036271222,0.02950427
0.036739282,0.036271222
0.036886524,0.036739282
0.03715263,0.036886524
0.039406203,0.03715263
0.038270872,0.039406203
0.038819954,0.038270872
0.036958013,0.038819954
0.037117753,0.036958013
0.03735259,0.037117753
0.037387684,0.03735259
0.037468348,0.037387684
0.03721726,0.037468348
0.037214838,0.03721726
0.036709186,0.037214838
0.036806762,0.036709186
0.035701785,0.036806762
0.035071068,0.035701785
0.034127086,0.035071068
0.032455426,0.034127086
0.034852926,0.032455426
0.030649507,0.034852926
0.029969526,0.030649507
0.029772716,0.029969526
0.02995475,0.029772716
0.027012974,0.02995475
0.026536398,0.027012974
0.025909552,0.026536398
0.026000679,0.025909552
0.025544154,0.026000679
0.026344681,0.025544154
0.026607165,0.026344681
0.02623291,0.026607165
0.026186135,0.02623291
0.025755195,0.026186135
0.02527795,0.025755195
0.025252089,0.02527795
0.02550924,0.025252089
0.02526653,0.02550924
0.025450777,0.02526653
0.027301043,0.025450777
0.024287779,0.027301043
0.020571752,0.024287779
0.023467736,0.020571752
0.023612259,0.023467736
0.022218777,0.023612259
0.02252167,0.022218777
0.022324491,0.02252167
0.027796924,0.022324491
0.027735736,0.027796924
0.02756093,0.027735736
0.02689639,0.02756093
0.02747498,0.027184645
0.027325692,0.02747498
0.028260466,0.027325692
0.028339125,0.028260466
0.028282518,0.028339125
0.029327838,0.028282518
0.029223274,0.029327838
0.025891013,0.029223274
0.025909036,0.025891013
0.028416164,0.025909036
0.030508947,0.028416164
0.030780543,0.030508947
0.03220625,0.030780543
0.038587965,0.03220625
0.037990376,0.038587965
0.038690478,0.037990376
0.03824925,0.038690478
0.038993612,0.03824925
0.03865201,0.038993612
0.038371623,0.03865201
0.03774233,0.038371623
0.037587337,0.03774233
0.037342913,0.037587337
0.037552197,0.037342913
0.037623707,0.037552197
0.037592255,0.037623707
0.036816373,0.037592255
0.036218435,0.036816373
0.036091488,0.036218435
0.036117844,0.036091488
0.035206378,0.036117844
0.033918597,0.035206378
0.033685826,0.033918597
0.03197947,0.033685826
0.025771942,0.03197947
0.024158733,0.025771942
0.023336822,0.024158733
0.023984946,0.023336822
0.021890238,0.023984946
0.022148877,0.021890238
0.022769704,0.022148877
0.023838576,0.022769704
0.023847055,0.023838576
0.024095358,0.023847055
0.023459686,0.024095358
0.023260714,0.023459686
0.02336367,0.023260714
0.023228938,0.02336367
0.02325556,0.023228938
0.023218116,0.02325556
0.02322729,0.023218116
0.02247988,0.02322729
0.022212306,0.02247988
0.022210233,0.022212306
0.022158569,0.022210233
0.020242635,0.022158569
0.02143354,0.020242635
0.021121254,0.02143354
0.019209616,0.021121254
0.019097738,0.019209616
0.017060654,0.017385518
0.016414503,0.017060654
0.018047754,0.016414503
0.016059378,0.018047754
0.016095564,0.016059378
0.016820183,0.016095564
0.018290726,0.016820183
0.019107297,0.018290726
0.020007715,0.019107297
0.025778005,0.020007715
0.026962504,0.025778005
0.027018325,0.026962504
0.026997203,0.027018325
0.03024523,0.026997203
0.03024065,0.03024523
0.032129243,0.03024065
0.031836256,0.032129243
0.035339158,0.031836256
0.038847536,0.035339158
0.04354682,0.038847536
0.04501997,0.04354682
0.047611345,0.04501997
0.04763058,0.047611345
0.04752302,0.04763058
0.04751172,0.04752302
0.048651513,0.04751172
0.049288668,0.048651513
0.0524795,0.049288668
0.052650437,0.0524795
0.05333714,0.052650437
0.05137114,0.05333714
0.05077652,0.05137114
0.052009735,0.05077652
0.05196494,0.052009735
