actual,predicted
0.023647606,0.0070223995
0.024666125,0.0016062092
0.026429104,0.0042579994
0.02680113,0.006517574
0.026921665,0.006296728
0.031737495,0.005484093
0.031214051,0.009019168
0.034164194,0.010442948
0.032580387,0.011949526
0.032226168,0.011546487
0.030847436,0.011811545
0.030496022,0.009857196
0.032120593,0.009413037
0.03332194,0.01247347
0.033134516,0.011459073
0.033290874,0.012554834
0.04042036,0.013416389
0.042053428,0.017703539
0.040868532,0.020845199
0.040371377,0.021022001
0.040513948,0.02046262
0.0426066,0.020108668
0.041825876,0.021244874
0.04089023,0.02175088
0.04531025,0.021522073
0.045237504,0.028388312
0.04204066,0.026122382
0.04416492,0.022698326
0.04194993,0.026558151
0.042165913,0.022296699
0.0428236,0.022212302
0.043072116,0.0245844
0.04307282,0.024531225
0.042089116,0.02409826
0.041154888,0.02242964
0.041142482,0.021730894
0.040537138,0.022116037
0.033572067,0.021697732
0.03131952,0.013819994
0.032029867,0.0109672155
0.03202457,0.012465013
0.032427795,0.011715522
0.029672027,0.011348134
0.03183138,0.0084797125
0.03333867,0.012794772
0.027669394,0.0144886095
0.028254379,0.0057954118
0.03250869,0.008133234
0.029718608,0.0102181155
0.029941993,0.00867833
0.029531363,0.008715615
0.030432113,0.008609237
0.034474466,0.008355787
0.042765483,0.016319009
0.0425342,0.026789589
0.042733043,0.02334481
0.042784266,0.024393184
0.042747203,0.023677653
0.04271329,0.02368884
0.043439105,0.024357112
0.027700651,0.03738772
0.027802661,0.03906129
0.027873263,0.039848335
0.03604732,0.04032416
0.03848879,0.04946493
0.040834043,0.04884786
0.04124759,0.0532819
0.041567188,0.053032808
0.040911146,0.052167747
0.041410077,0.05190192
0.041202813,0.05190706
0.040626414,0.052489243
0.04066486,0.051681474
0.041094866,0.052191198
0.04097245,0.051952068
0.041618038,0.05218327
0.04139648,0.053690176
0.042412467,0.05208694
0.042248566,0.053004593
0.04200993,0.0534818
0.04211353,0.053079788
0.040413518,0.053251456
0.040411152,0.052262332
0.040344477,0.051808357
0.03439518,0.05196219
0.031566154,0.045689434
0.028313113,0.043439183
0.029240815,0.041222952
0.02793037,0.040999465
0.027614528,0.04051943
0.026698295,0.040154263
0.026847526,0.03993785
0.026554862,0.039698176
0.027163055,0.03925602
0.027123976,0.039272014
0.027269298,0.04016922
0.029596068,0.039490595
0.02865234,0.04300724
0.027251069,0.04060597
0.030570848,0.040080618
0.031464614,0.04383067
0.033603176,0.04291278
0.03348514,0.04463377
0.034907196,0.045506317
0.035871435,0.047628727
0.0375353,0.04838438
0.037687417,0.04812136
0.038185205,0.049940873
0.037774295,0.04933356
0.040244643,0.04893378
0.04740355,0.052922513
0.046861053,0.060416266
0.04846933,0.058197238
0.049403384,0.060547773
0.050013456,0.059711523
0.04993144,0.060298737
0.049964234,0.06060412
0.048173636,0.061442696
0.047865167,0.059034474
0.047623996,0.059295423
0.026398571,0.014697922
0.027367758,0.01519643
0.027009856,0.01719183
0.027339844,0.016118344
0.02833439,0.015844626
0.029630866,0.018161502
0.03039642,0.018160682
0.02950427,0.01879457
0.036271222,0.018776044
0.036739282,0.027000092
0.036886524,0.02619309
