actual,predicted
-0.0014944894,-0.0024245707
-0.0014944894,-0.0024383394
-0.0009339685,-0.0024715988
-0.0016817718,-0.0024724929
-0.0014950479,-0.0024624793
-0.0014950479,-0.0024623005
-0.0014950479,-0.0024971692
-0.0014950479,-0.0024953214
-0.001495607,-0.0024868576
-0.00093449216,-0.002486798
-0.0009351913,-0.0024330942
-0.0009351913,-0.0024696914
-0.0013090231,-0.0024360744
-0.00056121976,-0.002448949
-0.00056121976,-0.0024751155
-0.00056121976,-0.0024727313
-0.00056121976,-0.0024698703
-0.00056121976,-0.0024360744
0.00074808305,-0.0024835197
0.0001869683,-0.0024661748
0.0011221247,-0.002483937
0.0011221247,-0.0025069444
0.0011221247,-0.0025016395
0.0011221247,-0.0025040833
0.0011221247,-0.0024972884
0.0011221247,-0.0024681417
0.000748223,-0.0024670092
0.000748223,-0.00249103
-0.0001869683,-0.002399656
-0.00074808305,-0.002387437
-0.00093501643,-0.002392861
-0.00093501643,-0.0023954837
-0.00093501643,-0.0024167625
-0.00093501643,-0.0024041263
-0.001309268,-0.0024099676
-0.0007479432,-0.0023871986
-0.00037404153,-0.002416703
-0.00037404153,-0.0024422733
-0.00018700327,-0.0024134843
0.00056111475,-0.0024468033
0.0018691594,-0.0024505584
0.0011219148,-0.0024522273
0.0013087783,-0.0024587242
0.0013087783,-0.0024453728
0.0016830298,-0.002582821
0.0011217052,-0.0024399487
0.0011217052,-0.0024419753
0.0011217052,-0.0024696914
0.00018700327,-0.0024509756
0.0001869683,-0.00244126
0.000373413,-0.0025032489
0.0013073118,-0.002455744
0.0011204483,-0.0024925796
0.0011204483,-0.002491924
0.0011204483,-0.002490255
0.0020531972,-0.002513024
0.0022396427,-0.0025120704
0.0022396427,-0.00244728
0.002987306,-0.0025043217
0.0029867485,-0.002444598
0.0014922592,-0.0024792878
0.0013056049,-0.0024385182
0.0013056049,-0.0024394123
0.0013056049,-0.0024904935
0.00055975374,-0.0024704067
-0.00037299516,-0.0024808971
-0.0005594406,-0.0024571745
-0.0005594406,-0.00245634
-0.0005594406,-0.0024430482
-0.00074585126,-0.0025040237
-0.000932401,-0.0025042621
-0.0011189856,-0.0025080172
-0.0014922592,-0.0024766652
-0.0016789483,-0.0024733273
-0.00093309704,-0.0024854867
-0.00093309704,-0.0024897782
-0.00093309704,-0.0024789302
-0.0013065798,-0.0024844734
-0.0013065798,-0.002457711
-0.0013065798,-0.0024413196
-0.0013068237,-0.0024463264
-0.0011202391,-0.0024487702
-0.00074696547,-0.00247142
-0.00056027644,-0.0024747578
-0.000747105,-0.002476546
-0.00037348273,-0.0024580685
-0.000747105,-0.0024726717
-0.0003736223,-0.0024547307
-0.0014953273,-0.0024351804
-0.0013082891,-0.0024371473
-0.0011214955,-0.0024818508
-0.001495607,-0.00248048
-0.001495607,-0.00248197
-0.001495607,-0.0024805395
-0.0014958866,-0.0024852483
-0.0022438304,-0.0024541346
-0.0018702082,-0.0024814336
-0.0020574215,-0.002479407
-0.0009357164,-0.0026612608
-0.0011227546,-0.0024393527
-0.001310003,-0.0024413196
-0.0009358915,-0.0026569096
-0.0009358915,-0.0024553863
-0.0009358915,-0.002455446
-0.00018714326,-0.0024591414
0.00018717829,-0.002647373
0.00018717829,-0.0026423065
0.00018721333,-0.0026046364
0.0020574215,-0.0026006429
0.0020574215,-0.0025934903
0.00224467,-0.0026020734
0.00224467,-0.0025818078
0.00224467,-0.0024726717
0.00224467,-0.002491626
0.0016830298,-0.0024798242
0.0028034782,-0.00249103
0.0028034782,-0.0024865
0.0029906565,-0.0024692742
0.0011204483,-0.0024289815
0.0011204483,-0.0024921624
0.0011204483,-0.002453479
0.0022396427,-0.0024245111
0.0022396427,-0.0024223654
0.0022396427,-0.002419564
0.0022396427,-0.0024336902
0.0011191943,-0.0023308722
0.0011191943,-0.0023326604
0.0013056049,-0.0023345677
0.0013056049,-0.002365264
0.0013056049,-0.0023641912
0.00055975374,-0.0023637144
-0.0009325749,-0.0023072688
-0.0009325749,-0.0023420183
-0.0009325749,-0.0023719398
-0.0011191943,-0.0023885695
-0.0011191943,-0.0023878543
-0.0011191943,-0.0023809401
-0.0011189856,-0.0023287265
-0.0011189856,-0.0023293225
-0.000932401,-0.0023445217
-0.00055975374,-0.002390596
-0.00018661939,-0.002384874
-0.00018661939,-0.002384278
-0.00037327362,-0.0023839204
-0.00018665423,-0.002470228
-0.00018665423,-0.0024523465
-0.00018665423,-0.0024484126
-0.00037327362,-0.0023473827
-0.00037327362,-0.0023460714
-0.00055985816,-0.0023629395
-0.00018665423,-0.0024655191
-0.00018665423,-0.0024713604
-0.00018665423,-0.0024668304
0.0,-0.0024817912
-0.000373413,-0.002476546
-0.00018668907,-0.0024729697
-0.000373413,-0.0024780957
-0.0005601718,-0.0025238125
-0.00074696547,-0.0025286404
-0.00074696547,-0.0025309054
-0.00074696547,-0.002528104
-0.00074696547,-0.0024951426
-0.00074696547,-0.0025322167
-0.00074696547,-0.0025292365
-0.0001867588,-0.002527508
0.0,-0.0025125472
-0.0001867588,-0.0025280444
0.0,-0.0025226204
0.00018679368,-0.002515587
0.00018679368,-0.002517256
0.002052814,-0.0025197593
0.002052814,-0.002515885
0.0022392247,-0.0025123684
0.0022392247,-0.0025093881
0.002052431,-0.0025015203
0.0016789483,-0.002466294
0.002052431,-0.0024850694
0.002052431,-0.002475652
0.002052431,-0.0024642674
0.002052431,-0.002459201
0.00018641066,-0.0023158519
0.00018641066,-0.002380344
0.0,-0.0023135273
0.0,-0.0023271767
0.0,-0.0024673073
-0.00018641066,-0.0024428694
-0.00018641066,-0.0024309484
-0.00018641066,-0.002435836
-0.00018641066,-0.0024241535
0.0,-0.002380821
-0.00018641066,-0.0023736088
-0.00018641066,-0.0023706285
-0.00037285607,-0.0023659198
-0.0016789483,-0.0023531048
-0.0018656722,-0.0023503033
-0.0016792616,-0.0023505418
-0.0022396427,-0.0023709862
-0.002800338,-0.0023771254
-0.0022396427,-0.0023511974
-0.0027998153,-0.0021708338
-0.002426506,-0.002297136
-0.0026134045,-0.002295646
-0.0022400606,-0.0022839038
-0.001120867,-0.0022098748
-0.00093414297,-0.0021596877
-0.0007472446,-0.002148184
-0.0005606953,-0.002167019
0.0,-0.002166423
-0.00037376193,-0.0021972386
-0.00018693336,-0.0021925895
-0.00074780337,-0.0022396771
-0.00056090497,-0.0022016494
-0.00074780337,-0.0022402732
-0.00037390165,-0.002213451
-0.00056090497,-0.0022197096
-0.00037383178,-0.0022325842
-2.220446e-16,-0.0022027818
-0.0003739716,-0.00221059
-0.00037390165,-0.0022523133
0.001867763,-0.0022242395
0.0022417346,-0.002237293
0.0022417346,-0.0022451011
0.0022417346,-0.002252969
0.0020547314,-0.0022955863
0.002428319,-0.002267274
0.0020543474,-0.0023106663
0.001867763,-0.0023255674
0.0022417346,-0.0023348061
0.0020547314,-0.00246236
0.0,-0.0022987453
0.0,-0.002270016
-0.00018661939,-0.0022762148
-0.00018661939,-0.0022667972
0.0,-0.0022724
-0.00018658457,-0.0023531048
-0.00037320395,-0.002346727
-0.00018661939,-0.002303156
-0.00037327362,-0.002299997
-0.0016808296,-0.0023129312
-0.001867763,-0.002339336
-0.001867763,-0.0023499457
-0.0016811435,-0.0024155704
